Date et Heure;Eolien (MW)
2021-01-01T00:00:00+01:00;935.0
2021-01-01T00:30:00+01:00;1620.0
2021-01-01T01:00:00+01:00;1615.0
2021-01-01T01:30:00+01:00;1625.0
2021-01-01T02:00:00+01:00;1567.0
2021-01-01T02:30:00+01:00;1614.0
2021-01-01T03:00:00+01:00;1638.0
2021-01-01T03:30:00+01:00;1676.0
2021-01-01T04:00:00+01:00;1708.0
2021-01-01T04:30:00+01:00;1709.0
2021-01-01T05:00:00+01:00;1669.0
2021-01-01T05:30:00+01:00;1708.0
2021-01-01T06:00:00+01:00;1745.0
2021-01-01T06:30:00+01:00;1784.0
2021-01-01T07:00:00+01:00;1762.0
2021-01-01T07:30:00+01:00;1791.0
2021-01-01T08:00:00+01:00;1811.0
2021-01-01T08:30:00+01:00;1850.0
2021-01-01T09:00:00+01:00;1832.0
2021-01-01T09:30:00+01:00;1793.0
2021-01-01T10:00:00+01:00;1778.0
2021-01-01T10:30:00+01:00;1709.0
2021-01-01T11:00:00+01:00;1682.0
2021-01-01T11:30:00+01:00;1599.0
2021-01-01T12:00:00+01:00;1513.0
2021-01-01T12:30:00+01:00;1480.0
2021-01-01T13:00:00+01:00;1458.0
2021-01-01T13:30:00+01:00;1449.0
2021-01-01T14:00:00+01:00;1494.0
2021-01-01T14:30:00+01:00;1552.0
2021-01-01T15:00:00+01:00;1605.0
2021-01-01T15:30:00+01:00;1650.0
2021-01-01T16:00:00+01:00;1676.0
2021-01-01T16:30:00+01:00;1679.0
2021-01-01T17:00:00+01:00;1756.0
2021-01-01T17:30:00+01:00;1834.0
2021-01-01T18:00:00+01:00;1961.0
2021-01-01T18:30:00+01:00;2062.0
2021-01-01T19:00:00+01:00;2087.0
2021-01-01T19:30:00+01:00;2102.0
2021-01-01T20:00:00+01:00;2073.0
2021-01-01T20:30:00+01:00;2064.0
2021-01-01T21:00:00+01:00;2050.0
2021-01-01T21:30:00+01:00;1987.0
2021-01-01T22:00:00+01:00;1936.0
2021-01-01T22:30:00+01:00;1925.0
2021-01-01T23:00:00+01:00;1911.0
2021-01-01T23:30:00+01:00;1908.0
2021-01-02T00:00:00+01:00;1907.0
2021-01-02T00:30:00+01:00;1926.0
2021-01-02T01:00:00+01:00;1932.0
2021-01-02T01:30:00+01:00;1928.0
2021-01-02T02:00:00+01:00;1949.0
2021-01-02T02:30:00+01:00;1998.0
2021-01-02T03:00:00+01:00;2026.0
2021-01-02T03:30:00+01:00;2009.0
2021-01-02T04:00:00+01:00;2044.0
2021-01-02T04:30:00+01:00;2131.0
2021-01-02T05:00:00+01:00;2230.0
2021-01-02T05:30:00+01:00;2303.0
2021-01-02T06:00:00+01:00;2316.0
2021-01-02T06:30:00+01:00;2308.0
2021-01-02T07:00:00+01:00;2347.0
2021-01-02T07:30:00+01:00;2391.0
2021-01-02T08:00:00+01:00;2416.0
2021-01-02T08:30:00+01:00;2415.0
2021-01-02T09:00:00+01:00;2394.0
2021-01-02T09:30:00+01:00;2359.0
2021-01-02T10:00:00+01:00;2377.0
2021-01-02T10:30:00+01:00;2360.0
2021-01-02T11:00:00+01:00;2353.0
2021-01-02T11:30:00+01:00;2306.0
2021-01-02T12:00:00+01:00;2350.0
2021-01-02T12:30:00+01:00;2361.0
2021-01-02T13:00:00+01:00;2313.0
2021-01-02T13:30:00+01:00;2391.0
2021-01-02T14:00:00+01:00;2449.0
2021-01-02T14:30:00+01:00;2452.0
2021-01-02T15:00:00+01:00;2465.0
2021-01-02T15:30:00+01:00;2480.0
2021-01-02T16:00:00+01:00;2518.0
2021-01-02T16:30:00+01:00;2422.0
2021-01-02T17:00:00+01:00;2427.0
2021-01-02T17:30:00+01:00;2439.0
2021-01-02T18:00:00+01:00;2476.0
2021-01-02T18:30:00+01:00;2505.0
2021-01-02T19:00:00+01:00;2513.0
2021-01-02T19:30:00+01:00;2459.0
2021-01-02T20:00:00+01:00;2425.0
2021-01-02T20:30:00+01:00;2369.0
2021-01-02T21:00:00+01:00;2354.0
2021-01-02T21:30:00+01:00;2328.0
2021-01-02T22:00:00+01:00;2311.0
2021-01-02T22:30:00+01:00;2235.0
2021-01-02T23:00:00+01:00;2228.0
