time,station_id,latitude,longitude,Water_Level_LAT,Water_Level_OD_Malin
UTC,,degrees_north,degrees_east,metres,metres
2023-11-09T11:20:00Z,Dublin Port,53.3457,-6.2217,3.35,0.845
2023-11-09T11:25:00Z,Dublin Port,53.3457,-6.2217,3.281,0.776
2023-11-09T11:30:00Z,Dublin Port,53.3457,-6.2217,3.21,0.705
2023-11-09T11:35:00Z,Dublin Port,53.3457,-6.2217,3.139,0.634
2023-11-09T11:40:00Z,Dublin Port,53.3457,-6.2217,3.086,0.581
2023-11-09T11:45:00Z,Dublin Port,53.3457,-6.2217,3.039,0.534
2023-11-09T11:50:00Z,Dublin Port,53.3457,-6.2217,3.022,0.517
2023-11-09T11:55:00Z,Dublin Port,53.3457,-6.2217,2.99,0.485
2023-11-09T12:00:00Z,Dublin Port,53.3457,-6.2217,2.981,0.476
2023-11-09T12:05:00Z,Dublin Port,53.3457,-6.2217,2.981,0.476
2023-11-09T12:10:00Z,Dublin Port,53.3457,-6.2217,2.925,0.42
2023-11-09T12:15:00Z,Dublin Port,53.3457,-6.2217,2.908,0.403
2023-11-09T12:20:00Z,Dublin Port,53.3457,-6.2217,2.86,0.355
2023-11-09T12:25:00Z,Dublin Port,53.3457,-6.2217,2.815,0.31
2023-11-09T12:30:00Z,Dublin Port,53.3457,-6.2217,2.757,0.252
2023-11-09T12:35:00Z,Dublin Port,53.3457,-6.2217,2.704,0.199
2023-11-09T12:40:00Z,Dublin Port,53.3457,-6.2217,2.629,0.124
2023-11-09T12:45:00Z,Dublin Port,53.3457,-6.2217,2.559,0.054
2023-11-09T12:50:00Z,Dublin Port,53.3457,-6.2217,2.494,-0.011
2023-11-09T12:55:00Z,Dublin Port,53.3457,-6.2217,2.432,-0.073
2023-11-09T13:00:00Z,Dublin Port,53.3457,-6.2217,2.407,-0.098
2023-11-09T13:05:00Z,Dublin Port,53.3457,-6.2217,2.342,-0.163
2023-11-09T13:10:00Z,Dublin Port,53.3457,-6.2217,2.323,-0.182
2023-11-09T13:15:00Z,Dublin Port,53.3457,-6.2217,2.295,-0.21
2023-11-09T13:20:00Z,Dublin Port,53.3457,-6.2217,2.28,-0.225
2023-11-09T13:25:00Z,Dublin Port,53.3457,-6.2217,2.249,-0.256
2023-11-09T13:30:00Z,Dublin Port,53.3457,-6.2217,2.242,-0.263
2023-11-09T13:35:00Z,Dublin Port,53.3457,-6.2217,2.244,-0.261
2023-11-09T13:40:00Z,Dublin Port,53.3457,-6.2217,2.243,-0.262
2023-11-09T13:45:00Z,Dublin Port,53.3457,-6.2217,2.192,-0.313
2023-11-09T13:50:00Z,Dublin Port,53.3457,-6.2217,2.183,-0.322
2023-11-09T13:55:00Z,Dublin Port,53.3457,-6.2217,2.149,-0.356
2023-11-09T14:00:00Z,Dublin Port,53.3457,-6.2217,2.1,-0.405
2023-11-09T14:05:00Z,Dublin Port,53.3457,-6.2217,2.074,-0.431
2023-11-09T14:10:00Z,Dublin Port,53.3457,-6.2217,2.066,-0.439
2023-11-09T14:15:00Z,Dublin Port,53.3457,-6.2217,2.058,-0.447
2023-11-09T14:20:00Z,Dublin Port,53.3457,-6.2217,2.002,-0.503
2023-11-09T14:25:00Z,Dublin Port,53.3457,-6.2217,1.999,-0.506
2023-11-09T14:30:00Z,Dublin Port,53.3457,-6.2217,1.995,-0.51
2023-11-09T14:35:00Z,Dublin Port,53.3457,-6.2217,2.008,-0.497
2023-11-09T14:40:00Z,Dublin Port,53.3457,-6.2217,2.006,-0.499
2023-11-09T14:45:00Z,Dublin Port,53.3457,-6.2217,1.993,-0.512
2023-11-09T14:50:00Z,Dublin Port,53.3457,-6.2217,1.994,-0.511
2023-11-09T14:55:00Z,Dublin Port,53.3457,-6.2217,2.003,-0.502
2023-11-09T15:00:00Z,Dublin Port,53.3457,-6.2217,2.005,-0.5
2023-11-09T15:05:00Z,Dublin Port,53.3457,-6.2217,2.009,-0.496
2023-11-09T15:10:00Z,Dublin Port,53.3457,-6.2217,2.008,-0.497
2023-11-09T15:15:00Z,Dublin Port,53.3457,-6.2217,2.005,-0.5
2023-11-09T15:20:00Z,Dublin Port,53.3457,-6.2217,2.067,-0.438
2023-11-09T15:25:00Z,Dublin Port,53.3457,-6.2217,2.04,-0.465
2023-11-09T15:30:00Z,Dublin Port,53.3457,-6.2217,2.039,-0.466
2023-11-09T15:35:00Z,Dublin Port,53.3457,-6.2217,2.031,-0.474
2023-11-09T15:40:00Z,Dublin Port,53.3457,-6.2217,2.044,-0.461
2023-11-09T15:45:00Z,Dublin Port,53.3457,-6.2217,2.07,-0.435
2023-11-09T15:50:00Z,Dublin Port,53.3457,-6.2217,2.133,-0.372
2023-11-09T15:55:00Z,Dublin Port,53.3457,-6.2217,2.206,-0.299
2023-11-09T16:00:00Z,Dublin Port,53.3457,-6.2217,2.233,-0.272
2023-11-09T16:05:00Z,Dublin Port,53.3457,-6.2217,2.269,-0.236
2023-11-09T16:10:00Z,Dublin Port,53.3457,-6.2217,2.307,-0.198
2023-11-09T16:15:00Z,Dublin Port,53.3457,-6.2217,2.313,-0.192
2023-11-09T16:20:00Z,Dublin Port,53.3457,-6.2217,2.333,-0.172
2023-11-09T16:25:00Z,Dublin Port,53.3457,-6.2217,2.333,-0.172
2023-11-09T16:30:00Z,Dublin Port,53.3457,-6.2217,2.371,-0.134
2023-11-09T16:35:00Z,Dublin Port,53.3457,-6.2217,2.397,-0.108
